,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
168,The Great Escape,(1963),172 min,8.2,86        ,"252,276",$12.10M,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.
169,Der Untergang,(2004),156 min,8.2,82        ,"366,192",$5.51M,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII."
170,Monty Python and the Holy Grail,(1975),91 min,8.2,91        ,"557,357",$1.23M,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles."
171,Some Like It Hot,(1959),121 min,8.2,98        ,"276,267",$25.00M,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
172,El secreto de sus ojos,(2009),129 min,8.2,80        ,"216,535",$6.39M,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.
173,Per qualche dollaro in più,(1965),132 min,8.2,74        ,"266,405",$15.00M,Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw.
174,Dial M for Murder,(1954),105 min,8.2,75        ,"183,196",$0.01M,A former tennis star arranges the murder of his adulterous wife.
175,Ran,(1985),162 min,8.2,97        ,"131,438",$4.14M,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him."
176,Tumbbad,(2018),104 min,8.2,****,"54,754",%^%^%^,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.
177,Gangs of Wasseypur,(2012),321 min,8.2,89        ,"100,499",%^%^%^,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations."
178,Kimetsu no Yaiba: Mugen Ressha-Hen,(2020),117 min,8.2,72        ,"67,366",$47.70M,"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair."
179,All About Eve,(1950),138 min,8.2,98        ,"135,514",$0.01M,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.
180,Miracle in Cell No. 7,(2019),132 min,8.2,****,"52,852",%^%^%^,A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six year old daughter. Prison will be their home. Based on the 2013 Korean movie 7-beon-bang-ui seon-mul (2013).
181,Klaus,(2019),96 min,8.2,65        ,"170,841",#177,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions."
182,Rashômon,(1950),88 min,8.2,98        ,"175,035",$0.10M,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter."
183,Drishyam,(2015),163 min,8.2,****,"90,242",$0.74M,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime."
184,Drishyam 2,(2022),140 min,8.2,****,"39,758",%^%^%^,A gripping tale of an investigation and a family which is threatened by it. Will Vijay Salgaonkar be able to protect his family this time?
185,Le salaire de la peur,(1953),131 min,8.2,85        ,"64,173",#195,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe."
186,Yôjinbô,(1961),110 min,8.2,93        ,"127,567",#148,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.
187,To Be or Not to Be,(1942),99 min,8.2,86        ,"40,654",#231,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy."
188,The Treasure of the Sierra Madre,(1947),126 min,8.2,98        ,"129,437",$5.01M,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.
189,Z,(1969),127 min,8.2,86        ,"30,410",$0.08M,The public murder of a prominent politician and doctor amid a violent demonstration is covered up by military and government officials. A tenacious magistrate is determined not to let them get away with it.
190,Zindagi Na Milegi Dobara,(2011),155 min,8.2,****,"82,776",$3.11M,Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.
191,Andhadhun,(2018),139 min,8.2,****,"98,634",$1.37M,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of."
192,Bacheha-Ye aseman,(1997),89 min,8.2,77        ,"77,986",$0.93M,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair."
193,"Swades: We, the People",(2004),210 min,8.2,****,"94,628",$1.22M,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.
194,K.G.F: Chapter 1,(2018),156 min,8.2,****,"93,355",%^%^%^,"In the 1970s, a gangster named Rocky goes undercover as a slave to assassinate the owner of a notorious gold mine known as the K.G.F."
