,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
527,All the President's Men,(1976),138 min,7.9,84        ,"122,100",$70.60M,"""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation."
528,Manbiki kazoku,(2018),121 min,7.9,93        ,"82,170",$3.31M,"On the margins of Tokyo, a dysfunctional band of outsiders are united by loyalty, a penchant for petty theft and playful grifting. When the young son is arrested, secrets are exposed that upend their tenuous, below-the-radar existence."
529,Dancer in the Dark,(2000),140 min,7.9,63        ,"114,005",$4.18M,An Eastern European US immigrant with a love for musicals has to cope with the gradual loss of her vision.
530,A Streetcar Named Desire,(1951),122 min,7.9,97        ,"112,077",$8.00M,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.
531,The Manchurian Candidate,(1962),126 min,7.9,94        ,"77,895",%^%^%^,An American POW in the Korean War is brainwashed as an unwitting assassin for an international Communist conspiracy.
532,Being There,(1979),130 min,7.9,83        ,"75,623",$30.18M,"After the death of his employer forces him out of the only home he's ever known, a simpleminded, sheltered gardener becomes an unlikely trusted advisor to a powerful tycoon and an insider in Washington politics."
533,Serbuan maut 2: Berandal,(2014),150 min,7.9,71        ,"128,491",$2.63M,"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force."
534,Ying xiong,(2002),120 min,7.9,85        ,"185,340",$53.71M,"A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors."
535,A Christmas Story,(1983),93 min,7.9,77        ,"161,591",$20.61M,"In the 1940s, a young boy named Ralphie Parker attempts to convince his parents, teacher, and Santa Claus that a Red Ryder Range 200 Shot BB gun really is the perfect Christmas gift."
536,The Artist,(I) (2011),100 min,7.9,89        ,"245,886",$44.67M,An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.
537,King Kong,(1933),100 min,7.9,92        ,"88,705",$10.00M,"A film crew goes to a tropical island for a location shoot, where they capture a colossal ape who takes a shine to their blonde starlet, and bring him back to New York City."
538,Harold and Maude,(1971),91 min,7.9,62        ,"80,160",%^%^%^,"Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral."
539,Rope,(1948),80 min,7.9,73        ,"149,409",%^%^%^,Two men attempt to prove they committed the perfect crime by hosting a dinner party after strangling their former classmate to death.
540,Notorious,(1946),102 min,7.9,100        ,"104,692",$10.46M,The daughter of a convicted Nazi spy is asked by American agents to gather information on a ring of Nazi scientists in South America. How far will she have to go to ingratiate herself with them?
541,Togo,(2019),113 min,7.9,69        ,"52,882",%^%^%^,"The story of Togo, the sled dog who led the 1925 serum run despite being considered too small and weak to lead such an intense race."
542,Patton,(1970),172 min,7.9,86        ,"105,916",$61.70M,The World War II phase of the career of controversial American general George S. Patton.
543,Trois couleurs: Bleu,(1993),94 min,7.9,87        ,"107,300",$1.32M,A woman struggles to find a way to live her life after the death of her husband and child.
544,Once Were Warriors,(1994),102 min,7.9,77        ,"35,920",$2.20M,A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.
545,Bin-jip,(2004),88 min,7.9,72        ,"57,006",$0.24M,A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days.
546,The Lion in Winter,(1968),134 min,7.9,****,"33,055",$22.28M,"1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. When he allows his imprisoned wife Eleanor of Aquitaine out for a Christmas visit, they all variously plot to force him into a decision."
547,Il gattopardo,(1963),186 min,7.9,100        ,"27,776",%^%^%^,"The Prince of Salina, a noble aristocrat of impeccable integrity, tries to preserve his family and class amid the tumultuous social upheavals of 1860s Sicily."
548,The Big Sleep,(1946),114 min,7.9,86        ,"88,622",$6.54M,"Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail and what might be love."
549,Cat on a Hot Tin Roof,(1958),108 min,7.9,84        ,"52,096",$17.57M,Brick is an alcoholic ex-football player who drinks his days away and resists the affections of his wife. A reunion with his terminal father jogs a host of memories and revelations for both father and son.
550,Amour,(2012),127 min,7.9,95        ,"103,673",$6.74M,"Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested."
551,The Philadelphia Story,(1940),112 min,7.9,96        ,"72,103",%^%^%^,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself."
552,Sacrifice,(1986),149 min,7.9,****,"30,014",$0.30M,"At the dawn of World War III, a man searches for a way to restore peace to the world and finds he must give something in return."
553,Il conformista,(1970),113 min,7.9,100        ,"32,552",$0.54M,"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident."
554,Arsenic and Old Lace,(1944),118 min,7.9,****,"73,281",%^%^%^,A Brooklyn writer of books on the futility of marriage risks his reputation after he decides to tie the knot. Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers.
555,In Cold Blood,(1967),134 min,7.9,89        ,"28,038",%^%^%^,"Two ex-cons murder a family in a robbery attempt, before going on the run from the authorities. The police try to piece together the details of the murder in an attempt to track down the killers."
556,Hable con ella,(2002),112 min,7.9,86        ,"115,626",$9.36M,Two men share an odd friendship while they care for two women who are both in deep comas.
557,The Adventures of Robin Hood,(1938),102 min,7.9,97        ,"53,267",$3.98M,"When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence in 1190s England, a Saxon lord fights back as the outlaw leader of a resistance movement."
558,Taeksi woonjunsa,(2017),137 min,7.9,69        ,"28,437",$1.53M,"A widowed father and taxi driver who drives a German reporter from Seoul to Gwangju to cover the 1980 uprising, soon finds himself regretting his decision after being caught in the violence around him."
559,Gegen die Wand,(2004),121 min,7.9,78        ,"56,335",%^%^%^,"With the intention to break free from the strict familial restrictions, a suicidal young woman sets up a marriage of convenience with a forty-year-old addict, an act that will lead to an outburst of envious love."
560,Nostalgia,(1983),125 min,7.9,****,"28,965",$0.01M,"A Russian poet and his interpreter travel to Italy researching the life of an 18th-century composer, and instead meet a ruminative madman who tells the poet how the world may be saved."
561,My Name Is Khan,(2010),165 min,7.9,50        ,"112,005",$4.02M,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.
562,Laura,(1944),88 min,7.9,****,"49,590",$4.36M,A police detective falls in love with the woman whose murder he is investigating.
563,Harvey,(1950),104 min,7.9,****,"57,200",%^%^%^,"Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows."
564,The Big Heat,(1953),89 min,7.9,****,"28,053",%^%^%^,Tough cop Dave Bannion takes on a politically powerful crime syndicate.
565,Hoje Eu Quero Voltar Sozinho,(2014),96 min,7.9,71        ,"26,929",$0.10M,"Leonardo is a blind teenager searching for independence. His everyday life, the relationship with his best friend Giovana, and the way he sees the world change completely with the arrival of Gabriel."
566,Kal Ho Naa Ho,(2003),186 min,7.9,54        ,"72,656",$1.79M,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her."
567,The Thin Man,(1934),91 min,7.9,86        ,"31,627",%^%^%^,"Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it."
568,Mildred Pierce,(1945),111 min,7.9,88        ,"27,704",%^%^%^,A hard-working mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter.
569,Hiroshima mon amour,(1959),90 min,7.9,****,"34,561",$0.09M,A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.
570,In a Lonely Place,(1950),94 min,7.9,****,"33,739",%^%^%^,"A potentially violent screenwriter is a murder suspect until his lovely neighbor clears him. However, she soon starts to have her doubts."
571,Kagemusha,(1980),180 min,7.9,84        ,"37,192",%^%^%^,A petty thief with an utter resemblance to a samurai warlord is hired as the lord's double. When the warlord later dies the thief is forced to take up arms in his place.
572,Darbareye Elly,(2009),119 min,7.9,87        ,"55,772",$0.11M,The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers.
573,Gully Boy,(2019),154 min,7.9,65        ,"41,996",$5.57M,A coming-of-age story based on the lives of street rappers in Mumbai.
574,Amarcord,(1973),123 min,7.9,****,"45,591",$0.58M,A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.
575,Miracle on 34th Street,(1947),96 min,7.9,88        ,"51,478",$2.65M,"After a divorced New York mother hires a nice old man to play Santa Claus at Macy's, she is startled by his claim to be the genuine article. When his sanity is questioned, a lawyer defends him in court by arguing that he's not mistaken."
576,Nueve reinas,(2000),114 min,7.9,80        ,"55,399",$1.22M,"Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the ""nine queens"")."
577,Le cercle rouge,(1970),140 min,7.9,92        ,"27,064",$0.37M,"After leaving prison, master thief Corey crosses paths with a notorious escapee and an alcoholic former policeman. The trio proceed to plot an elaborate heist."
578,No Man's Land,(I) (2001),98 min,7.9,84        ,"48,161",$1.06M,"Bosnia and Herzegovina during 1993 at the time of the heaviest fighting between the two warring sides. Two soldiers from opposing sides in the conflict, Nino and Ciki, become trapped in no man's land, whilst a third soldier becomes a living booby trap."
579,"4 luni, 3 saptamâni si 2 zile",(2007),113 min,7.9,97        ,"62,290",$1.19M,A woman assists her friend in arranging an illegal abortion in 1980s Romania.
580,The Lost Weekend,(1945),101 min,7.9,****,"39,064",$9.46M,The desperate life of a chronic alcoholic is followed through a four-day drinking bout.
581,Ascenseur pour l'échafaud,(1958),91 min,7.9,94        ,"27,569",$0.11M,"A self-assured businessman murders his employer, the husband of his mistress, which unintentionally provokes an ill-fated chain of events."
582,Padman,(2018),140 min,7.9,****,"27,655",$1.66M,"Upon realizing the extent to which women are affected by their menses, a man sets out to create a sanitary pad machine and to provide inexpensive sanitary pads to the women of rural India."
583,Bronenosets Potemkin,(1925),75 min,7.9,97        ,"60,036",$0.05M,"In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre."
584,Dev.D,(2009),144 min,7.9,****,"31,654",$0.01M,"After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?"
585,Sullivan's Travels,(1941),90 min,7.9,****,"27,811",%^%^%^,Hollywood director John L. Sullivan sets out to experience life as a homeless person in order to gain relevant life experience for his next movie.
586,Vozvrashchenie,(2003),110 min,7.9,82        ,"46,633",$0.50M,"In the Russian wilderness, two brothers face a range of new, conflicting emotions when their father - a man they know only through a single photograph - resurfaces."
587,Jab We Met,(2007),138 min,7.9,****,"56,375",$0.41M,A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.
588,La règle du jeu,(1939),110 min,7.9,99        ,"30,476",%^%^%^,"A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau."
589,Såsom i en spegel,(1961),90 min,7.9,84        ,"26,638",%^%^%^,"Recently released from a mental hospital, Karin rejoins her emotionally disconnected family in their island home, only to slip from reality as she begins to believe she is being visited by God."
590,C.R.A.Z.Y.,(2005),129 min,7.9,81        ,"33,734",%^%^%^,"A young French Canadian, one of five boys in a conservative family in the 1960s and 1970s, struggles to reconcile his emerging identity with his father's values."
591,La Belle et la Bête,(1946),96 min,7.9,92        ,"27,450",$0.30M,"A beautiful young woman takes her father's place as the prisoner of a mysterious beast, who wishes to marry her."
592,Badhaai ho,(2018),124 min,7.9,****,"36,489",%^%^%^,A man is embarrassed when he finds out his mother is pregnant.
593,Airlift,(2016),130 min,7.9,****,"58,123",%^%^%^,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen."
594,Super 30,(2019),154 min,7.9,****,"34,785",$2.27M,Based on the life of Patna-based mathematician Anand Kumar who runs the famed Super 30 program for IIT aspirants in Patna.
595,Baby,(I) (2015),159 min,7.9,****,"59,166",%^%^%^,"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India."
596,John Wick: Chapter 4,(2023),169 min,7.8,78        ,"267,683",%^%^%^,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes."
597,The Batman,(2022),176 min,7.8,72        ,"725,261",$369.35M,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement."
598,Everything Everywhere All at Once,(2022),139 min,7.8,81        ,"475,076",$72.86M,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.
599,The Big Short,(2015),130 min,7.8,81        ,"458,766",$70.26M,"In 2006-2007 a group of investors bet against the United States mortgage market. In their research, they discover how flawed and corrupt the market is."
600,Pride & Prejudice,(2005),129 min,7.8,82        ,"315,452",$38.41M,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?"
601,Dunkirk,(2017),106 min,7.8,94        ,"708,861",$188.37M,"Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II."
602,The Notebook,(2004),123 min,7.8,53        ,"596,707",$81.00M,"A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom. However, social differences soon get in the way."
603,Drive,(I) (2011),100 min,7.8,78        ,"679,138",$35.06M,A mysterious Hollywood action film stuntman gets in trouble with gangsters when he tries to help his neighbor's husband rob a pawn shop while serving as his getaway driver.
604,Tombstone,(1993),130 min,7.8,50        ,"158,876",$56.51M,"A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating."
605,Little Women,(2019),135 min,7.8,91        ,"227,275",$108.10M,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms."
606,Ghostbusters,(1984),105 min,7.8,71        ,"430,785",$238.63M,"Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers."
607,Willy Wonka & the Chocolate Factory,(1971),100 min,7.8,67        ,"213,060",$4.00M,A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory.
608,The Gentlemen,(2019),113 min,7.8,51        ,"369,105",$36.47M,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him."
609,Ferris Bueller's Day Off,(1986),103 min,7.8,61        ,"374,950",$70.14M,"A popular high school student, admired by his peers, decides to take a day off from school, and goes to extreme lengths to it pull off, to the chagrin of his Principal who'll do anything to stop him."
610,The Breakfast Club,(1985),97 min,7.8,66        ,"422,044",$45.88M,Five high school students meet in Saturday detention and discover how they have a great deal more in common than they thought.
611,Get Out,(I) (2017),104 min,7.8,85        ,"653,699",$176.04M,"A young African-American visits his White girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point."
612,The Irishman,(2019),209 min,7.8,94        ,"411,626",$7.00M,"An illustration of Frank Sheeran's life, from W.W.II veteran to hit-man for the Bufalino crime family and his alleged assassination of his close friend Jimmy Hoffa."
613,The Hateful Eight,(2015),168 min,7.8,68        ,"634,559",$54.12M,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters."
614,Im Westen nichts Neues,(2022),148 min,7.8,76        ,"219,895",%^%^%^,A young German soldier's terrifying experiences and distress on the western front during World War I.
615,RRR (Rise Roar Revolt),(2022),187 min,7.8,83        ,"155,849",$14.50M,A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in the 1920s.
616,Call Me by Your Name,(2017),132 min,7.8,94        ,"295,971",$18.10M,"In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant."
617,About Time,(I) (2013),123 min,7.8,55        ,"370,560",$15.32M,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think."
618,Rogue One,(2016),133 min,7.8,65        ,"665,590",$532.18M,"In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction."
619,The Hobbit: An Unexpected Journey,(2012),169 min,7.8,58        ,"851,517",$303.00M,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug."
620,Apocalypto,(2006),139 min,7.8,68        ,"323,075",$50.87M,"As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression."
621,The Social Network,(2010),120 min,7.8,95        ,"733,768",$96.96M,"As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea and by the co-founder who was later squeezed out of the business."
622,Taken,(I) (2008),90 min,7.8,51        ,"619,849",$145.00M,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris."
623,The Sandlot,(1993),101 min,7.8,55        ,"98,641",$32.42M,"In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures."
624,Verdens verste menneske,(2021),128 min,7.8,90        ,"84,643",%^%^%^,"The chronicles of four years in the life of Julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is."
625,The Girl with the Dragon Tattoo,(2011),158 min,7.8,71        ,"479,968",$102.52M,Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for 40 years by young computer hacker Lisbeth Salander.
626,Predator,(1987),107 min,7.8,47        ,"440,037",$59.74M,A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.
627,Atonement,(2007),123 min,7.8,85        ,"291,243",$50.93M,Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.
628,Hot Fuzz,(2007),121 min,7.8,81        ,"522,998",$23.64M,"A skilled London police officer, after irritating superiors with his embarrassing effectiveness, is transferred to a village where the easygoing officers object to his fervor for regulations, as a string of grisly murders strikes the town."
629,Nightcrawler,(2014),117 min,7.8,76        ,"580,713",$32.38M,"When Louis Bloom, a con man desperate for work, muscles into the world of L.A.crime journalism, he blurs the line between observer and participant to become the star of his own story."
630,Remember the Titans,(2000),113 min,7.8,48        ,"225,219",$115.65M,The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.
631,Star Wars: Episode VII - The Force Awakens,(2015),138 min,7.8,80        ,"955,157",$936.66M,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace."
632,The Fugitive,(1993),130 min,7.8,87        ,"308,587",$183.88M,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal."
633,American Gangster,(2007),157 min,7.8,76        ,"441,037",$130.16M,"An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film."
634,Walk the Line,(2005),136 min,7.8,72        ,"259,837",$119.52M,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis, and Carl Perkins."
635,Little Miss Sunshine,(2006),101 min,7.8,80        ,"502,738",$59.89M,A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.
636,Cast Away,(2000),143 min,7.8,73        ,"618,378",$233.63M,A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.
637,Manchester by the Sea,(2016),137 min,7.8,96        ,"298,918",$47.70M,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.
638,The Curious Case of Benjamin Button,(2008),166 min,7.8,70        ,"676,302",$127.51M,"Tells the story of Benjamin Button, a man who starts aging backwards with consequences."
639,The Hobbit: The Desolation of Smaug,(2013),161 min,7.8,66        ,"685,917",$258.37M,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring."
640,Hidden Figures,(2016),127 min,7.8,74        ,"244,964",$169.61M,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.
641,Skyfall,(2012),143 min,7.8,81        ,"715,952",$304.36M,"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost."
642,Close,(I) (2022),104 min,7.8,81        ,"27,302",%^%^%^,"The intense friendship between two thirteen-year old boys Leo and Remi suddenly gets disrupted. Struggling to understand what has happened, Léo approaches Sophie, Rémi's mother. ""Close"" is a film about friendship and responsibility."
643,Misery,(1990),107 min,7.8,75        ,"224,559",$61.28M,"After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse."
644,Back to the Future Part II,(1989),108 min,7.8,57        ,"556,044",$118.50M,"After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip."
645,Moonrise Kingdom,(2012),94 min,7.8,84        ,"360,946",$45.51M,"A pair of young lovers flee their New England town, which causes a local search party to fan out to find them."
646,The Untouchables,(1987),119 min,7.8,79        ,"322,470",$76.27M,"During Prohibition, Treasury agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone, and assembles a small, incorruptible team to help him."
647,A Bronx Tale,(1993),121 min,7.8,80        ,"152,690",$17.27M,"Robert De Niro and Chazz Palminteri give captivating performances in this intense drama about a boy torn between his tough, hard-working father and a violent yet charismatic crime boss."
648,Mary Poppins,(1964),139 min,7.8,88        ,"180,338",$102.27M,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father."
649,Captain America: Civil War,(2016),147 min,7.8,75        ,"824,465",$408.08M,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.
650,The Bourne Identity,(2002),119 min,7.8,68        ,"563,830",$121.66M,"A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory."
651,The Last Samurai,(2003),154 min,7.8,55        ,"457,472",$111.11M,An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle.
652,Ang-ma-reul bo-at-da,(2010),144 min,7.8,67        ,"139,748",$0.13M,A secret agent exacts revenge on a serial killer through a series of captures and releases.
653,Captain Fantastic,(2016),118 min,7.8,72        ,"228,214",$5.88M,"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent."
654,Captain America: The Winter Soldier,(2014),136 min,7.8,70        ,"877,630",$259.77M,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier."
655,The Fighter,(I) (2010),116 min,7.8,79        ,"380,779",$93.62M,"Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness."
656,Captain Phillips,(2013),134 min,7.8,82        ,"479,790",$107.10M,"The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years."
657,Big Hero 6,(2014),102 min,7.8,74        ,"484,485",$222.53M,"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes."
658,Serenity,(2005),119 min,7.8,74        ,"301,887",$25.51M,The crew of the ship Serenity try to evade an assassin sent to recapture telepath River.
659,Moon,(2009),97 min,7.8,67        ,"369,450",$5.01M,"Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems."
660,The Fall,(I) (2006),117 min,7.8,64        ,"114,952",$2.28M,"In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality blurs as the tale advances."
661,The King of Comedy,(1982),109 min,7.8,73        ,"112,005",$2.50M,"Rupert Pupkin is a passionate yet unsuccessful comic who craves nothing more than to be in the spotlight and to achieve this, he stalks and kidnaps his idol to take the spotlight for himself."
662,The Man from Earth,(2007),87 min,7.8,****,"194,647",%^%^%^,An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine.
663,Isle of Dogs,(2018),101 min,7.8,82        ,"182,503",$32.02M,"Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog."
664,La montaña sagrada,(1973),114 min,7.8,76        ,"46,146",$0.06M,"In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment."
665,Boyz n the Hood,(1991),112 min,7.8,76        ,"148,573",$57.50M,"Follows the lives of three young males living in the Crenshaw ghetto of Los Angeles, dissecting questions of race, relationships, violence, and future prospects."
666,Straight Outta Compton,(2015),147 min,7.8,72        ,"211,873",$161.20M,"The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood."
667,Midnight Cowboy,(1969),113 min,7.8,79        ,"116,462",$44.79M,"A naive hustler travels from Texas to New York City to seek personal fortune, finding a new friend in the process."
668,Awakenings,(1990),121 min,7.8,74        ,"152,164",$52.10M,"The victims of an encephalitis epidemic many years ago have been catatonic ever since, but now a new drug offers the prospect of reviving them."
669,Thirteen Lives,(2022),147 min,7.8,66        ,"63,247",%^%^%^,A rescue mission is assembled in Thailand where a group of young boys and their soccer coach are trapped in a system of underground caves that are flooding.
670,The Insider,(1999),157 min,7.8,84        ,"176,377",$28.97M,A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes exposé on Big Tobacco.
671,Hunt for the Wilderpeople,(2016),101 min,7.8,81        ,"136,839",$5.20M,A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.
672,Män som hatar kvinnor,(2009),152 min,7.8,76        ,"220,599",$10.10M,A journalist is aided by a young female hacker in his search for the killer of a woman who has been dead for forty years.
673,Majo no takkyûbin,(1989),103 min,7.8,85        ,"155,345",%^%^%^,"A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service."
674,Gekijouban Jujutsu Kaisen 0,(2021),105 min,7.8,71        ,"27,593",$34.54M,"Yuta Okkotsu, a high schooler who gains control of an extremely powerful Cursed Spirit and gets enrolled in the Tokyo Prefectural Jujutsu High School by Jujutsu Sorcerers to help him control his power and keep an eye on him."
675,The Searchers,(1956),119 min,7.8,94        ,"93,741",%^%^%^,An American Civil War veteran embarks on a years-long journey to rescue his niece from the Comanches after the rest of his brother's family is massacred in a raid on their Texas farm.
676,The Conversation,(1974),113 min,7.8,87        ,"117,228",$4.42M,"A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that the couple he is spying on will be murdered."
677,Gaslight,(1944),114 min,7.8,78        ,"32,005",%^%^%^,"Ten years after her aunt was murdered in their London home, a woman returns from Italy in the 1880s to resume residence with her new husband. His obsessive interest in the home rises from a secret that may require driving his wife insane."
